x1,y1,x2,y2,TRIDA,SHAPE_Length
-725008.426490247249603,-1065396.209804423153400,-724722.132458887994289,-1064954.817211188375950,3,526.109963557482956
-726894.235962849110365,-1093983.421058829873800,-726415.929642613977194,-1093591.142925787717104,5,618.594430657045109
-726415.929642613977194,-1093591.142925787717104,-726321.084042523056269,-1093198.284171327948570,5,404.145628223648600
-726321.084042523056269,-1093198.284171327948570,-726182.530135165899992,-1093057.454402633011341,5,197.560646371196526
-726182.530135165899992,-1093057.454402633011341,-726020.585129991173744,-1093038.699719637632370,5,163.027368362797517
-726020.585129991173744,-1093038.699719637632370,-725290.802854981273413,-1093004.565117415040731,5,730.580139332791077
-725290.802854981273413,-1093004.565117415040731,-725304.504821963608265,-1092652.225006811320782,5,352.606434200266108
-725304.504821963608265,-1092652.225006811320782,-725063.979125197976828,-1092405.554851148277521,5,344.526887919393687
-725063.979125197976828,-1092405.554851148277521,-724973.275582261383533,-1092287.597375389188528,5,148.798853452257788
-724973.275582261383533,-1092287.597375389188528,-724914.509360551834106,-1092211.173452261835337,5,96.405834056822044
-724914.509360551834106,-1092211.173452261835337,-724787.090811576694250,-1091873.223323192447424,5,361.172779097409375
-724787.090811576694250,-1091873.223323192447424,-724662.819492619484663,-1091921.004187665879726,5,133.140421079374022
-724662.819492619484663,-1091921.004187665879726,-723790.320472959429026,-1091862.247919466346502,5,874.475178813265984
-723790.320472959429026,-1091862.247919466346502,-722052.998161476105452,-1092756.367010649293661,5,1953.903212340769414
-722052.998161476105452,-1092756.367010649293661,-721385.761997263878584,-1092758.236873552203178,5,667.238784259369595
-721385.761997263878584,-1092758.236873552203178,-720703.726360619068146,-1092534.055538751184940,5,717.934454199447146
-722980.981538504362106,-1096551.638638902455568,-723038.261544007807970,-1096704.822809018194675,5,163.543232830106689
-723038.261544007807970,-1096704.822809018194675,-723221.168815925717354,-1096832.572617795318365,5,223.103302895864175
-723221.168815925717354,-1096832.572617795318365,-723545.133914157748222,-1097429.703067652881145,5,679.351278073122216
-722281.187966853380203,-1098740.461594987660646,-722424.084398552775383,-1098527.129586119204760,5,256.768253879389931
-722424.084398552775383,-1098527.129586119204760,-722247.643241066485643,-1098347.941609114408493,5,251.475273452824950
-722247.643241066485643,-1098347.941609114408493,-721874.886560540646315,-1097774.814310628920794,5,683.682999017758220
-721874.886560540646315,-1097774.814310628920794,-721405.596024919301271,-1097260.583153352141380,5,696.180500975131281
-721405.596024919301271,-1097260.583153352141380,-721442.703059554100037,-1096936.054896004498005,5,326.642804660513548
-715421.763025809079409,-1068015.681674722582102,-715238.661223884671926,-1067540.788709934800863,4,508.969152182029404
-715238.661223884671926,-1067540.788709934800863,-715382.626697484403849,-1066629.991726893931627,4,922.104767315051049
-715382.626697484403849,-1066629.991726893931627,-715350.124820154160261,-1066444.706089943647385,4,188.114697166549803
-715350.124820154160261,-1066444.706089943647385,-715443.344505652785301,-1065856.095320805907249,4,595.946765499557500
-715443.344505652785301,-1065856.095320805907249,-715013.872550349682570,-1064721.218284290283918,4,1213.421628454987513
-719738.618137408047915,-1066673.199390064924955,-719636.356648474931717,-1066233.431838307529688,5,451.500732776272685
-719636.356648474931717,-1066233.431838307529688,-719516.133788757026196,-1066116.921288587152958,5,167.416379709082122
-719516.133788757026196,-1066116.921288587152958,-719191.350756473839283,-1065901.264349322766066,5,389.861428602452406
-719191.350756473839283,-1065901.264349322766066,-719070.068459119647741,-1065786.572847213596106,5,166.923743989787965
-719070.068459119647741,-1065786.572847213596106,-718768.446371562778950,-1065634.433795649558306,5,337.819737009204914
-718768.446371562778950,-1065634.433795649558306,-718448.338695026934147,-1065513.635203953832388,5,342.142111311729252
-718448.338695026934147,-1065513.635203953832388,-718284.368761740624905,-1065251.960743099451065,5,308.803598562820923
-718284.368761740624905,-1065251.960743099451065,-718114.606758732348680,-1065359.759526826441288,5,201.096283999482182
-718114.606758732348680,-1065359.759526826441288,-718006.952388215810061,-1065602.998340874910355,5,265.997338616419029
-718006.952388215810061,-1065602.998340874910355,-717681.613007109612226,-1065349.767250493168831,5,412.276239958707265
-717681.613007109612226,-1065349.767250493168831,-716802.668827768415213,-1064963.487416915595531,5,960.080715474739691
-716802.668827768415213,-1064963.487416915595531,-716537.496668566018343,-1064852.918763436377048,5,287.300715537342171
-716537.496668566018343,-1064852.918763436377048,-716399.984212677925825,-1064735.744995623826981,5,180.663685857905563
-716399.984212677925825,-1064735.744995623826981,-716235.761425316333771,-1064710.701789762824774,5,166.121299202140875
-716235.761425316333771,-1064710.701789762824774,-716090.356883712112904,-1064656.152189224958420,5,155.300159813099953
-716090.356883712112904,-1064656.152189224958420,-715854.620746128261089,-1064595.560808096081018,5,243.398525118903706
-715854.620746128261089,-1064595.560808096081018,-715762.284478299319744,-1064581.242596607655287,5,93.439807024657725
-715762.284478299319744,-1064581.242596607655287,-715790.961064565926790,-1064648.926814056932926,5,73.508502172383132
-715790.961064565926790,-1064648.926814056932926,-715828.932308346033096,-1064700.801714364439249,5,64.287017632815889
-715828.932308346033096,-1064700.801714364439249,-715013.872550349682570,-1064721.218284290283918,5,815.315426956099259
-718700.950223062187433,-1070777.334546353667974,-718697.552932929247618,-1070993.623446192592382,4,216.315579128687915
-718697.552932929247618,-1070993.623446192592382,-718870.419383328408003,-1070886.983460582792759,4,203.113013380392857
-718870.419383328408003,-1070886.983460582792759,-719265.051958050578833,-1070876.050315618515015,4,394.783994977835505
-719265.051958050578833,-1070876.050315618515015,-719272.581526454538107,-1071021.367894977331161,4,145.512519293206282
-719272.581526454538107,-1071021.367894977331161,-719790.104501582682133,-1071295.540995839983225,4,585.662803174426926
-719790.104501582682133,-1071295.540995839983225,-719943.971447560936213,-1071151.840250682085752,4,210.534893126080050
-719943.971447560936213,-1071151.840250682085752,-720160.162733156234026,-1070885.705045726150274,4,342.879890463534480
-720160.162733156234026,-1070885.705045726150274,-720277.024798940867186,-1070996.313513245433569,4,160.906729214213641
-720277.024798940867186,-1070996.313513245433569,-720327.599980387836695,-1071152.369358319789171,4,164.046565828929090
-720327.599980387836695,-1071152.369358319789171,-720309.579587038606405,-1071480.743512246757746,4,328.868240399880222
-720309.579587038606405,-1071480.743512246757746,-720445.135217774659395,-1071827.685327954590321,4,372.483492937468043
-720445.135217774659395,-1071827.685327954590321,-720558.712276007980108,-1071976.374003998935223,4,187.104437522885235
-720558.712276007980108,-1071976.374003998935223,-720586.031517826020718,-1071988.292895700782537,4,29.806055641646775
-720586.031517826020718,-1071988.292895700782537,-721065.748442515730858,-1072295.631441231817007,4,569.723888741629594
-721065.748442515730858,-1072295.631441231817007,-721796.625079762190580,-1072004.068161360919476,4,786.886144903929790
-721796.625079762190580,-1072004.068161360919476,-723239.942358203232288,-1072061.430239666253328,4,1444.456705572708643
-723239.942358203232288,-1072061.430239666253328,-724268.237209316343069,-1071835.134220540523529,4,1052.900844855719242
-724268.237209316343069,-1071835.134220540523529,-725264.382572278380394,-1072012.528644885867834,4,1011.817357994803842
-725264.382572278380394,-1072012.528644885867834,-725706.203690312802792,-1072338.089797180145979,4,548.813232552172735
-725706.203690312802792,-1072338.089797180145979,-726455.815627403557301,-1072025.032523583620787,4,812.356395174336626
-725470.866216998547316,-1070661.818299897015095,-725369.952817492187023,-1070440.860854607075453,5,242.910903067332384
-725369.952817492187023,-1070440.860854607075453,-725045.091030243784189,-1070309.034996163100004,5,350.589842649095601
-724935.880245078355074,-1069978.094408251345158,-724990.957905519753695,-1069850.590468637645245,5,138.891336291044610
-724990.957905519753695,-1069850.590468637645245,-725150.341016910970211,-1069863.377935055643320,5,159.895264139174429
-725150.341016910970211,-1069863.377935055643320,-725549.123157575726509,-1069723.344621788710356,5,422.654142932114723
-725549.123157575726509,-1069723.344621788710356,-725704.306236982345581,-1069608.516564507037401,5,193.047328065436346
-725708.973036199808121,-1076622.643847882747650,-725443.819561656564474,-1076409.424121592193842,4,340.248463246747406
-725443.819561656564474,-1076409.424121592193842,-725506.362878486514091,-1075956.134115278720856,4,457.584414402151424
-725506.362878486514091,-1075956.134115278720856,-724642.375157639384270,-1075474.853791024535894,4,988.992180094884020
-724642.375157639384270,-1075474.853791024535894,-723822.471532717347145,-1075187.647354580461979,4,868.751685635890112
-723822.471532717347145,-1075187.647354580461979,-723611.468994442373514,-1075226.075237460434437,4,214.473246212945156
-723611.468994442373514,-1075226.075237460434437,-723456.790575459599495,-1075248.814293060451746,4,156.340902992758942
-723456.790575459599495,-1075248.814293060451746,-722666.178558945655823,-1074945.462040986865759,4,846.811637552508387
-722666.178558945655823,-1074945.462040986865759,-722130.104860465973616,-1075018.742750421166420,4,541.059213558811507
-722130.104860465973616,-1075018.742750421166420,-721970.807488963007927,-1075092.489353969693184,4,175.539779260136498
-721970.807488963007927,-1075092.489353969693184,-721530.943545319139957,-1075652.772782810032368,4,712.318615193386108
-721530.943545319139957,-1075652.772782810032368,-721240.531904023140669,-1075743.786980036646128,4,304.339457673567381
-721240.531904023140669,-1075743.786980036646128,-720638.855668671429157,-1075496.980967689305544,4,650.328762948252006
-720638.855668671429157,-1075496.980967689305544,-720047.616823635995388,-1075571.999525047838688,4,595.979157208529614
-714169.021762207150459,-1073411.827834893018007,-714174.358939059078693,-1073118.835789777338505,4,293.040652397951646
-714174.358939059078693,-1073118.835789777338505,-714607.404902953654528,-1071852.236097000539303,4,1338.582679025716516
-714607.404902953654528,-1071852.236097000539303,-714538.440873660147190,-1071499.690280523151159,4,359.227769043686237
-714538.440873660147190,-1071499.690280523151159,-714422.406695436686277,-1071406.065120458602905,4,149.095945998226824
-714422.406695436686277,-1071406.065120458602905,-714105.857835292816162,-1071438.231023170053959,4,318.178921607993971
-714105.857835292816162,-1071438.231023170053959,-713812.118927679955959,-1071675.360302913933992,4,377.508729908922419
-713812.118927679955959,-1071675.360302913933992,-713611.613675404340029,-1071789.080551993101835,4,230.509546962238346
-713611.613675404340029,-1071789.080551993101835,-713230.043074432760477,-1072189.630924984812737,4,553.205861167080457
