x,y
-725008.426490247249603,-1065396.209804423153400
-724722.132458887994289,-1064954.817211188375950
-726894.235962849110365,-1093983.421058829873800
-726415.929642613977194,-1093591.142925787717104
-726321.084042523056269,-1093198.284171327948570
-726182.530135165899992,-1093057.454402633011341
-726020.585129991173744,-1093038.699719637632370
-725290.802854981273413,-1093004.565117415040731
-725304.504821963608265,-1092652.225006811320782
-725063.979125197976828,-1092405.554851148277521
-724973.275582261383533,-1092287.597375389188528
-724914.509360551834106,-1092211.173452261835337
-724787.090811576694250,-1091873.223323192447424
-724662.819492619484663,-1091921.004187665879726
-723790.320472959429026,-1091862.247919466346502
-722052.998161476105452,-1092756.367010649293661
-721385.761997263878584,-1092758.236873552203178
-720703.726360619068146,-1092534.055538751184940
-722980.981538504362106,-1096551.638638902455568
-723038.261544007807970,-1096704.822809018194675
-723221.168815925717354,-1096832.572617795318365
-723545.133914157748222,-1097429.703067652881145
-722281.187966853380203,-1098740.461594987660646
-722424.084398552775383,-1098527.129586119204760
-722247.643241066485643,-1098347.941609114408493
-721874.886560540646315,-1097774.814310628920794
-721405.596024919301271,-1097260.583153352141380
-721442.703059554100037,-1096936.054896004498005
-715421.763025809079409,-1068015.681674722582102
-715238.661223884671926,-1067540.788709934800863
-715382.626697484403849,-1066629.991726893931627
-715350.124820154160261,-1066444.706089943647385
-715443.344505652785301,-1065856.095320805907249
-715013.872550349682570,-1064721.218284290283918
-719738.618137408047915,-1066673.199390064924955
-719636.356648474931717,-1066233.431838307529688
-719516.133788757026196,-1066116.921288587152958
-719191.350756473839283,-1065901.264349322766066
-719070.068459119647741,-1065786.572847213596106
-718768.446371562778950,-1065634.433795649558306
-718448.338695026934147,-1065513.635203953832388
-718284.368761740624905,-1065251.960743099451065
-718114.606758732348680,-1065359.759526826441288
-718006.952388215810061,-1065602.998340874910355
-717681.613007109612226,-1065349.767250493168831
-716802.668827768415213,-1064963.487416915595531
-716537.496668566018343,-1064852.918763436377048
-716399.984212677925825,-1064735.744995623826981
-716235.761425316333771,-1064710.701789762824774
-716090.356883712112904,-1064656.152189224958420
-715854.620746128261089,-1064595.560808096081018
-715762.284478299319744,-1064581.242596607655287
-715790.961064565926790,-1064648.926814056932926
-715828.932308346033096,-1064700.801714364439249
-718700.950223062187433,-1070777.334546353667974
-718697.552932929247618,-1070993.623446192592382
-718870.419383328408003,-1070886.983460582792759
-719265.051958050578833,-1070876.050315618515015
-719272.581526454538107,-1071021.367894977331161
-719790.104501582682133,-1071295.540995839983225
-719943.971447560936213,-1071151.840250682085752
-720160.162733156234026,-1070885.705045726150274
-720277.024798940867186,-1070996.313513245433569
-720327.599980387836695,-1071152.369358319789171
-720309.579587038606405,-1071480.743512246757746
-720445.135217774659395,-1071827.685327954590321
-720558.712276007980108,-1071976.374003998935223
-720586.031517826020718,-1071988.292895700782537
-721065.748442515730858,-1072295.631441231817007
-721796.625079762190580,-1072004.068161360919476
-723239.942358203232288,-1072061.430239666253328
-724268.237209316343069,-1071835.134220540523529
-725264.382572278380394,-1072012.528644885867834
-725706.203690312802792,-1072338.089797180145979
-726455.815627403557301,-1072025.032523583620787
-725470.866216998547316,-1070661.818299897015095
-725369.952817492187023,-1070440.860854607075453
-725045.091030243784189,-1070309.034996163100004
-724935.880245078355074,-1069978.094408251345158
-724990.957905519753695,-1069850.590468637645245
-725150.341016910970211,-1069863.377935055643320
-725549.123157575726509,-1069723.344621788710356
-725704.306236982345581,-1069608.516564507037401
-725708.973036199808121,-1076622.643847882747650
-725443.819561656564474,-1076409.424121592193842
-725506.362878486514091,-1075956.134115278720856
-724642.375157639384270,-1075474.853791024535894
-723822.471532717347145,-1075187.647354580461979
-723611.468994442373514,-1075226.075237460434437
-723456.790575459599495,-1075248.814293060451746
-722666.178558945655823,-1074945.462040986865759
-722130.104860465973616,-1075018.742750421166420
-721970.807488963007927,-1075092.489353969693184
-721530.943545319139957,-1075652.772782810032368
-721240.531904023140669,-1075743.786980036646128
-720638.855668671429157,-1075496.980967689305544
-720047.616823635995388,-1075571.999525047838688
-714169.021762207150459,-1073411.827834893018007
-714174.358939059078693,-1073118.835789777338505
